ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D282027,北京同仁堂盛平药店有限责任公司,C,5822.935,W701927,北京同仁堂商业投资集团有限公司,北京市朝阳区安慧北里逸园6号楼1层103,116.415253,39.999195,True,10.114854869719343,165491,,3,328
D282028,北京同仁堂兴华药店有限公司西大街药店,C,8805.351,W701927,北京同仁堂商业投资集团有限公司,北京市大兴区黄村镇黄村西大街47号1幢,116.331632,39.731966,False,7.430314394456256,118360,,4,329
D282034,北京同仁堂连锁药店有限责任公司北苑南路药店,C,5893.719,W701927,北京同仁堂商业投资集团有限公司,北京通州区杨庄北里52号天时名苑小区14号楼B1-01,116.636563,39.903741,False,9.089052264598498,148239,,3,330
D282036,北京立坤元金象大药房有限公司,C,13552.994,W219032,北京金象大药房医药连锁有限责任公司,北京市朝阳区北苑家园莲葩园7号二层1-7号,116.422484,40.04414,False,13.806934270800804,221926,,3,331
D282037,北京田村路金象大药房有限公司,C,12922.45,W219032,北京金象大药房医药连锁有限责任公司,北京市海淀区田村路43号环京现代物流设施项目A-1F-113,116.253951,39.93174,False,14.637933733309621,236308,,3,332
D282116,北京嘉瑞堂金象大药房有限公司,C,233.797,W219032,北京金象大药房医药连锁有限责任公司,北京市房山区长阳镇碧桂园小区1号楼四单元102号底商,116.163268,39.760689,False,5.430667868349378,90902,,4,333
D303584,北京良乡国太药房有限公司回龙观昌药店,C,21820.33,,,北京市昌平区回龙观镇龙锦苑四区十三号楼1层6、7号,116.349127,40.085068,False,10.469662164600386,160104,,3,334
D303607,北京吴记天天好医药有限公司南口旺草堂大药房,C,1671.06,,,北京市昌平区南口镇道北南厂住宅中区11号楼一层北侧Z段区3号,116.147411,40.230226,False,2.297506082226653,37343,,4,335
D303632,北京同德堂药店有限责任公司成府路分公司,C,7199.272,,,北京市海淀区成府路蓝旗营小区4号楼1层101室,116.323579,39.992772,False,20.467160372594286,338115,,2,336
D337548,北京同仁堂林肯公园药店有限责任公司,C,6070.513,W701927,北京同仁堂商业投资集团有限公司,北京市北京经济技术开发区文化园西路6号院26号楼1层109,116.494979,39.804671,False,7.807549503410105,126624,,4,337
D337564,北京嘉事堂药业股份有限公司永德康正药店,C,11849.106,W703139,北京嘉事堂连锁药店有限责任公司,嘉事堂药业(永德康正药店),116.206882,39.980518,False,4.962986412965299,74828,,4,338
D337566,北京华神堂平房医药有限公司,C,3870.087,,,北京市朝阳区平房乡平房村556号,116.470324,39.94539,False,15.847708484018268,263010,,3,339
D337569,北京高远百康大药房有限公司团结湖分店,C,0,D070415,北京高远百康大药房有限公司,北京市朝阳区白家庄东里42号11号楼,116.464884,39.92899,False,17.107247534907852,286874,,2,340
D337575,北京晋垣康大药房有限公司,C,2790.569,,,北京市昌平区东小口镇小辛庄村66号,116.37475,40.095822,False,7.963706124717432,131567,,4,341
