ORGID,ORGNAME,dianLevel,sales,DRUGSTORE_ID3,NODE_NAME3,address,Longitude,Latitude,isYibao,fraction,population,ranking,level,id
D172870,北京永安堂医药连锁有限责任公司永仁堂药店,C,18701.201,W701458,北京亚泰永安医药股份有限公司,北京市西城区牛街北口路东南段4、5门,116.363679,39.886262,False,26.988780784064307,439326,,1,987
D172873,北京正济堂药品超市有限责任公司燕阳城一店,C,6224.088,D161904,北京正济堂药品连锁超市有限责任公司,正济堂药品超市(燕阳城一店),116.408362,40.008052,False,11.293822418045568,184977,,3,988
D173891,北京甜舒堂欣药店有限公司,C,926.838,,,北京市海淀区双榆树南里甲10号,116.329989,39.964534,False,23.352216360010026,390940,,2,989
D173896,北京捷方达医药有限公司,C,11498.513,,,北京市通州区张家湾镇太玉园东区1号楼108-208号,116.701781,39.85353,False,4.639866070640988,69658,,4,990
D173901,北京杏春堂大药房有限责任公司,B,631.908,,,北京市朝阳区将台乡驼房营村3队甲220号,116.50299,39.977732,False,11.582030811596061,193773,,3,991
D174743,北京天天好大药房有限公司远大路药店,C,15035.927,,,天天好大药房(远大路药店),116.286134,39.957329,True,22.561397367018632,367680,,2,992
D174807,北京金六君堂药店有限公司海淀清河分店,B,3930.837,,,北京市海淀区清河四街西南路60号平房,116.347856,40.024549,False,20.4281464600286,339777,,2,993
D175783,北京优正堂大药房有限公司,A,3057.296,,,北京市朝阳区东三环中路18号北-16号,116.462658,39.896785,False,22.07521568065543,368016,,2,994
D175790,北京金药堂医药有限公司第三分店,A,4106.144,,,北京市西城区西外大街丙51号,116.329441,39.942575,False,34.63365086455962,577867,,1,995
D180891,北京凯尔康大药房有限责任公司昌平西环路分公司,C,8326.828,D070508,北京凯尔康大药房有限责任公司,北京市昌平区西环路32-8号,116.227251,40.222792,False,12.191848927546017,198546,,3,996
D184199,北京弘景堂大药房有限公司,C,3041.692,,,北京市朝阳区东四环北路10号院4号楼1层8号,116.48724,39.960318,False,13.892209503781821,230805,,3,997
D184213,北京宝莲堂医药有限责任公司,C,12711.123,,,北京市海淀区四季青路8号101号102号,116.271054,39.953705,False,14.035234112283742,226351,,3,998
D184505,北京德威治月坛大药房,B,4766.796,W219989,北京德威治医药连锁有限责任公司,北京西城区月坛北街乙5号,116.351052,39.919869,False,26.822770879112603,446417,,1,999
D184506,北京养生堂药店有限公司大钟寺药店,A,11468.367,C700533,北京养生堂药店有限公司,北京市海淀区北三环西路甲18号院1号楼,116.34222,39.966464,False,31.986251340133173,528255,,1,1000
D198526,北京长店迎松堂医药有限责任公司朝阳一分店,C,173081.107,,,长店迎松堂医药(朝阳一分店),116.55567,40.010081,False,11.486734247300816,69966,,3,1001
D200896,北京福瑞安康大药房有限公司,C,11200.76,,,北京市北京经济技术开发区泰河园五里18号楼1层1002,116.511074,39.764143,False,4.664792345705127,70287,,4,1002
D201121,北京宝瑞堂医药有限公司刘家窑大药房,C,123.185,D106309,北京恒创佳益医药有限公司,北京市丰台区刘家窑东里8号楼东侧平房,116.418407,39.862005,False,22.177707103446274,371814,,2,1003
D201133,北京德瑞堂大药房,C,528.716,,,德瑞堂大药房,116.288891,39.779164,False,6.056161658664051,101182,,4,1004
D201248,北京广顺康健大药房,C,438.164,,,广顺康健大药房,116.469764,39.991915,False,16.659789680223998,279060,,3,1005
D201270,北京同仁堂京北企业管理有限公司航天城店,C,20173.125,W701927,北京同仁堂商业投资集团有限公司,同仁堂京北企业管理(航天城店),116.396276,39.895864,False,27.67629941925161,449812,,1,1006
D201307,北京高远百康大药房有限公司芍药居分店,C,37778.472,D070415,北京高远百康大药房有限公司,北京市朝阳区芍药居小区310号楼一层,116.433741,39.983904,True,14.788008620187735,221210,,3,1007
D201354,北京德厚康医药有限责任公司清河大药房,B,9832.129,,,德厚康医药(清河大药房),116.33489,40.034096,True,15.722305526751734,256682,,3,1008
D201365,北京百草安康大药房有限公司,C,12119.686,,,北京朝阳区来广营乡红军营村53号,116.436675,40.029514,True,11.18517125606702,178977,,3,1009
D201387,北京德威治医药连锁有限责任公司花园桥大药房,B,4356.282,W219989,北京德威治医药连锁有限责任公司,北京市海淀区西三环北路91号国图大厦一层,116.31092,39.935774,False,19.4426760329556,322950,,2,1010
